folder,title,version,api_version,is_library,depends_on,optional_depends_on,description,manifest_path,esoui_url,esoui_category,code_summary_path,functionality_notes,enabled,enablement_steps,out_of_date,missing_deps,purpose_tags,vanilla_status,source
ActionDurationReminder,Action Duration Reminder,3.157,101049 101050,no,LibAddonMenu-2.0>=34,ScootworksCombat,Remind you time to refresh your actions.,ActionDurationReminder/ActionDurationReminder.txt,,,data/addon_summaries/ActionDurationReminder.txt,Remind you time to refresh your actions. | [code-scan] LAM=no hooks=no lua=19 slash_tokens~0 event_tokens~10,yes,,,,misc_or_unclassified,unknown,folder
AdvancedFilters,Advanced Filters,1.6.5.3,101049 101050,no,LibAddonMenu-2.0>=41 LibCustomMenu>=730 LibFilters-3.0>=350 LibScrollableMenu>=020401,LibMotifCategories FCOCraftFilter FCOCompanion,,AdvancedFilters/AdvancedFilters.txt,,,data/addon_summaries/AdvancedFilters.txt,[code-scan] LAM=yes hooks=yes lua=20 slash_tokens~0 event_tokens~10,yes,,,,inventory,unknown,folder
ArmoryStyleManager,|c9CD04CArmory Style Manager|r,0.15.1,101044,no,,LibAddonMenu-2.0>=37,"|c9CD04CSaves and loads your collectibles with your armory builds.  Now supports random mount, customized actions and skill styles.",ArmoryStyleManager/ArmoryStyleManager.txt,,,data/addon_summaries/ArmoryStyleManager.txt,"c9CD04CSaves and loads your collectibles with your armory builds.  Now supports random mount, customized actions and skill styles. | [code-scan] LAM=no hooks=no lua=2 slash_tokens~1 event_tokens~0",yes,,,,misc_or_unclassified,unknown,folder
AwesomeGuildStore,,,,no,,,,,,,data/addon_summaries/AwesomeGuildStore.txt,[code-scan] LAM=yes hooks=yes lua=93 slash_tokens~0 event_tokens~1,yes,,,,economy_tracking,unknown,folder
BanditsCompanions,Bandits |c00FFE8Companions|r,1.7.15,101048,no,BanditsUserInterface,,"Addition to Bandits User Interface. Adds companion ""group"" bar when solo and while in a group.",BanditsCompanions/BanditsCompanions.txt,,,data/addon_summaries/BanditsCompanions.txt,"Addition to Bandits User Interface. Adds companion ""group"" bar when solo and while in a group. | [code-scan] LAM=no hooks=no lua=12 slash_tokens~0 event_tokens~11",yes,,,,combat_ui,unknown,folder
BanditsUserInterface,|c4B8BFEBandits|r User Interface,4.435,101049,no,,,"User Interface add-on from Bandits guild. Contains: different UI styles, minimap, buff tracker, combat notifications and combat statistics. Originally based on Foundry Tactical Combat by Atropos.",BanditsUserInterface/BanditsUserInterface.txt,,,data/addon_summaries/BanditsUserInterface.txt,"User Interface add-on from Bandits guild. Contains: different UI styles, minimap, buff tracker, combat notifications and combat statistics. Originally based on Foundry Tactical Combat by Atropos. | [code-scan] LAM=no hooks=yes lua=35 slash_tokens~9 event_tokens~41",yes,,,,combat_ui,unknown,folder
BeamMeUp,,,,no,,,,,,,data/addon_summaries/BeamMeUp.txt,[code-scan] LAM=no hooks=no lua=30 slash_tokens~0 event_tokens~1,yes,,,,misc_or_unclassified,unknown,folder
CharacterKnowledge,,,,no,,,,,,,data/addon_summaries/CharacterKnowledge.txt,[code-scan] LAM=yes hooks=yes lua=36 slash_tokens~1 event_tokens~7,yes,See data/audit_remediation.md §1 (motifs/knowledge). Enable motif-related notifications if offered; check optional deps LibCharacterKnowledge.,,,collectibles_knowledge,unknown,folder
CharacterMarkdown,,,,no,,,,,,,data/addon_summaries/CharacterMarkdown.txt,[code-scan] LAM=yes hooks=no lua=102 slash_tokens~4 event_tokens~10,yes,,,,misc_or_unclassified,unknown,folder
CombatAlerts,,,,no,,,,,,,data/addon_summaries/CombatAlerts.txt,[code-scan] LAM=yes hooks=yes lua=40 slash_tokens~0 event_tokens~15,yes,,,,combat_ui,unknown,folder
