folder,slash_commands,saved_vars_names,lam_panel,event_samples,hook_flags,create_control_count,lua_file_count,xml_file_count,summary_path
ActionDurationReminder,,,no,EVENT_ACTION_SLOT_ABILITY_USED EVENT_ACTION_UPDATE_COOLDOWNS EVENT_ADD_ON_LOADED EVENT_CHAT_MESSAGE_CHANNEL EVENT_COMBAT_EVENT EVENT_EFFECT_CHANGED EVENT_MOUNTED_STATE_CHANGED EVENT_PLAYER_ACTIVATED EVENT_PLAYER_COMBAT_STATE EVENT_RETICLE_TARGET_CHANGED,no,0,19,0,data/addon_summaries/ActionDurationReminder.txt
AdvancedFilters,,,yes,EVENT_ADD_ON_LOADED EVENT_CLOSE_BANK EVENT_CLOSE_GUILD_BANK EVENT_CRAFT_COMPLETED EVENT_CRAFT_FAILED EVENT_END_CRAFTING_STATION_INTERACT EVENT_OPEN_BANK EVENT_OPEN_GUILD_BANK EVENT_PLAYER_ACTIVATED EVENT_STABLE_INTERACT_END,yes,3,20,1,data/addon_summaries/AdvancedFilters.txt
ArmoryStyleManager,/asm,,no,,no,1,2,2,data/addon_summaries/ArmoryStyleManager.txt
AwesomeGuildStore,,,yes,event,yes,4,93,4,data/addon_summaries/AwesomeGuildStore.txt
BanditsCompanions,,,no,EVENT_ACTION_LAYER_POPPED EVENT_ACTION_LAYER_PUSHED EVENT_ADD_ON_LOADED EVENT_GROUP_MEMBER_JOINED EVENT_GROUP_MEMBER_LEFT EVENT_PLAYER_ACTIVATED EVENT_POWER_UPDATE EVENT_UNIT_ATTRIBUTE_VISUAL_ADDED EVENT_UNIT_ATTRIBUTE_VISUAL_REMOVED EVENT_UNIT_ATTRIBUTE_VISUAL_UPDATED EVENT_UNIT_CREATED,no,0,12,1,data/addon_summaries/BanditsCompanions.txt
BanditsUserInterface,/ab /bui /daily /dice /regrouper /reloadui /rg /rl /scan,,no,EVENT_ACTION_LAYER_POPPED EVENT_ACTION_LAYER_PUSHED EVENT_ACTION_SLOTS_FULL_UPDATE EVENT_ACTION_SLOT_ABILITY_SLOTTED EVENT_ACTION_SLOT_ABILITY_USED EVENT_ACTION_SLOT_UPDATED EVENT_ACTIVE_QUICKSLOT_CHANGED EVENT_ACTIVE_WEAPON_PAIR_CHANGED EVENT_ACTIVITY_FINDER_STATUS_UPDATE EVENT_ADD_ON_LOADED EVENT_ALLIANCE_POINT_UPDATE EVENT_BEGIN_SIEGE_CONTROL EVENT_BOSSES_CHANGED EVENT_CHAMPION_POINT_UPDATE EVENT_CHATTER_BEGIN EVENT_COMBAT_EVENT EVENT_CURSOR_DROPPED EVENT_CURSOR_PICKUP EVENT_DISPLAY_ACTIVE_COMBAT_TIP EVENT_DISPOSITION_UPDATE EVENT_EFFECT_CHANGED EVENT_END_SIEGE_CONTROL EVENT_EXPERIENCE_UPDATE EVENT_GAMEPAD_PREFERRED_MODE_CHANGED EVENT_GROUP_ELECTION_FAILED EVENT_GROUP_ELECTION_NOTIFICATION_ADDED EVENT_GROUP_ELECTION_REQUESTED EVENT_GROUP_ELECTION_RESULT EVENT_GROUP_MEMBER_CONNECTED_STATUS EVENT_GROUP_MEMBER_JOINED EVENT_GROUP_MEMBER_LEFT EVENT_GROUP_MEMBER_ROLES_CHANGED EVENT_GROUP_SUPPORT_RANGE_UPDATE EVENT_IMPACTFUL_HIT EVENT_JUSTICE_BOUNTY_PAYOFF_AMOUNT_UPDATED EVENT_LEADER_UPDATE EVENT_LEVEL_UPDATE EVENT_LOOT_ITEM_FAILED EVENT_LUA_ERROR EVENT_MAP_PING …(+24),yes,18,35,2,data/addon_summaries/BanditsUserInterface.txt
BeamMeUp,,,no,EVENT_START_FAST_TRAVEL_INTERACTION,no,8,30,2,data/addon_summaries/BeamMeUp.txt
CharacterKnowledge,/lckstyles,,yes,EVENT_ADD_ON_LOADED EVENT_CRAFTED_ABILITY_LOCK_STATE_CHANGED EVENT_CRAFTED_ABILITY_SCRIPT_LOCK_STATE_CHANGED EVENT_MULTIPLE_RECIPES_LEARNED EVENT_PLAYER_ACTIVATED EVENT_RECIPE_LEARNED EVENT_STYLE_LEARNED,yes,2,36,4,data/addon_summaries/CharacterKnowledge.txt
CharacterMarkdown,/cm /markdown /markdown_settings /tonl,,yes,EVENT_ADD_ON_LOADED EVENT_ANTIQUITY_UNLOCKED EVENT_COLLECTIBLE_UNLOCKED EVENT_HOUSE_OWNERSHIP_CHANGED EVENT_KEY_DOWN EVENT_PLAYER_ACTIVATED EVENT_SKILL_POINTS_CHANGED EVENT_SKILL_RANK_UPDATE EVENT_TITLE_UNLOCKED eventType,no,0,102,1,data/addon_summaries/CharacterMarkdown.txt
CombatAlerts,,,yes,EVENT_ADD_ON_LOADED EVENT_BOSSES_CHANGED EVENT_COMBAT_EVENT EVENT_EFFECT_CHANGED EVENT_GROUP_INVITE_RECEIVED EVENT_GROUP_MEMBER_JOINED EVENT_GROUP_MEMBER_LEFT EVENT_GROUP_MEMBER_ROLE_CHANGED EVENT_GROUP_SUPPORT_RANGE_UPDATE EVENT_GROUP_UPDATE EVENT_PLAYER_ACTIVATED EVENT_PLAYER_COMBAT_STATE EVENT_RAID_TRIAL_COMPLETE EVENT_RAID_TRIAL_STARTED EVENT_UNIT_DEATH_STATE_CHANGED,yes,9,40,4,data/addon_summaries/CombatAlerts.txt
CombatMetrics,/cmx,,no,,no,14,15,2,data/addon_summaries/CombatMetrics.txt
CraftStoreFixedAndImproved,// /_ /craftstore /cs /cspurge /csremovechar /csrepair /csrepairknowledge /langde /langen /langfr /langru /list /perf /reloadui,,yes,,no,0,10,10,data/addon_summaries/CraftStoreFixedAndImproved.txt
CrutchAlerts,/crutch,,no,EVENT_ADD_ON_LOADED EVENT_BOSSES_CHANGED EVENT_CHAT_MESSAGE_CHANNEL EVENT_COMBAT_EVENT EVENT_DISPLAY_ANNOUNCEMENT EVENT_EFFECT_CHANGED EVENT_GROUP_MEMBER_CONNECTED_STATUS EVENT_GROUP_MEMBER_JOINED EVENT_GROUP_MEMBER_LEFT EVENT_GROUP_MEMBER_ROLE_CHANGED EVENT_GROUP_UPDATE EVENT_LEADER_UPDATE EVENT_PLAYER_ACTIVATED EVENT_PLAYER_COMBAT_STATE EVENT_POWER_UPDATE EVENT_RAID_TRIAL_SCORE_UPDATE EVENT_RAID_TRIAL_STARTED EVENT_RETICLE_TARGET_CHANGED EVENT_UNIT_DEATH_STATE_CHANGED event,yes,5,61,7,data/addon_summaries/CrutchAlerts.txt
CustomCompassPins,,,no,,no,1,1,0,data/addon_summaries/CustomCompassPins.txt
DolgubonsLazyWritCreator,/abandonwrits /console /countsurveys /countunearnedvouchers /craftitems /dailyreset /dcsbar /displaychangelog /dlwcdebug /dlwcstatwindowdebug /dolgubonlazywritstats /dstat /findwrit /gamepad /lang /lazywritstats /libstubwarning /listquest /loothirelings /noclaim /outputwritchances /outputwritstats /quit /rerunmasterwrits /resetchangelog /resetchangelog2 /resetcheeseprogress /resetcheeseprogresscomplete /resetwelcome /resetwritcraftersettings /resetwritstatistics /senddebug /sendebug /testmail /testpotion /testrun /transmuteboxtotal /wcbag /writcraftertranslations /writstats,,yes,EVENT_ADD_ON_LOADED EVENT_BATTLEGROUND_STATE_CHANGED EVENT_CHATTER_BEGIN EVENT_CHAT_MESSAGE_CHANNEL EVENT_CRAFTING_STATION_INTERACT EVENT_CRAFT_COMPLETED EVENT_END_CRAFTING_STATION_INTERACT EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_LOOT_CLOSED EVENT_MAIL_OPEN_MAILBOX EVENT_MAIL_READABLE EVENT_MAIL_REMOVED EVENT_MAIL_TAKE_ATTACHED_ITEM_SUCCESS EVENT_OBJECTIVES_UPDATED EVENT_OBJECTIVE_COMPLETED EVENT_OPEN_BANK EVENT_OPEN_STORE EVENT_PLAYER_ACTIVATED EVENT_QUEST_ADDED EVENT_QUEST_ADVANCED EVENT_QUEST_COMPLETE EVENT_QUEST_COMPLETE_DIALOG EVENT_QUEST_CONDITION_COUNTER_CHANGED EVENT_QUEST_OFFERED EVENT_QUEST_REMOVED,yes,2,28,3,data/addon_summaries/DolgubonsLazyWritCreator.txt
Dustman,,,no,EVENT_ADD_ON_LOADED EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_OPEN_FENCE EVENT_OPEN_STORE EVENT_PLAYER_ACTIVATED EVENT_QUEST_REMOVED EVENT_RECIPE_LEARNED,yes,0,7,1,data/addon_summaries/Dustman.txt
EssentialHousingTools,/EHHmetrics /camerazoomin /camerazoominout /camerazoomout /camerazoomoutin /clearhistory /clockme /craft /dfids /dfkeys /dice /droll /ehc /ehcfx /ehcpubs /ehcrecs /ehcstats /ehcusers /ehh /eht /ehtdebug /ehtdf /ehtmetrics /ehtver /ehtversion /fxmetrics /gametime /guestbook /guestjournal /history /home /house /hub /itemsetcompletion /listfavhouses /loc /loopemote /measure /myloc /oops …(+32),,yes,EVENT_ADD_ON_LOADED EVENT_CHAT_MESSAGE_CHANNEL EVENT_CLIENT_INTERACT_RESULT EVENT_COLLECTIBLE_UPDATED EVENT_CRAFT_COMPLETED EVENT_END_CRAFTING_STATION_INTERACT EVENT_GLOBAL_MOUSE_DOWN EVENT_GUILD_DESCRIPTION_CHANGED EVENT_GUILD_ID_CHANGED EVENT_GUILD_MEMBER_ADDED EVENT_GUILD_MEMBER_NOTE_CHANGED EVENT_GUILD_MEMBER_RANK_CHANGED EVENT_GUILD_MEMBER_REMOVED EVENT_GUILD_MOTD_CHANGED EVENT_GUILD_RANKS_CHANGED EVENT_GUILD_RANK_CHANGED EVENT_GUILD_SELF_JOINED_GUILD EVENT_GUILD_SELF_LEFT_GUILD EVENT_GUI_HIDDEN EVENT_HOUSING_EDITOR_MODE_CHANGED EVENT_HOUSING_FURNITURE_MOVED EVENT_HOUSING_FURNITURE_PATH_DATA_CHANGED EVENT_HOUSING_FURNITURE_PATH_NODES_RESTORED EVENT_HOUSING_FURNITURE_PATH_NODE_ADDED EVENT_HOUSING_FURNITURE_PATH_NODE_MOVED EVENT_HOUSING_FURNITURE_PATH_NODE_REMOVED EVENT_HOUSING_FURNITURE_PLACED EVENT_HOUSING_FURNITURE_REMOVED EVENT_HOUSING_FURNITURE_STATE_CHANGED EVENT_HOUSING_POPULATION_CHANGED EVENT_INVENTORY_FULL_UPDATE EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_JUMP_FAILED EVENT_KEYBINDINGS_LOADED EVENT_KEYBINDING_CLEARED EVENT_KEYBINDING_SET EVENT_LOGOUT_DEFERRED EVENT_LUA_ERROR EVENT_MAIL_INBOX_UPDATE EVENT_MAIL_READABLE …(+10),yes,38,29,6,data/addon_summaries/EssentialHousingTools.txt
HarvestMap,/harvestmapisolate /harvestmapreset,,yes,EVENT_ADD_ON_LOADED EVENT_BEGIN_LOCKPICK EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_LOOT_RECEIVED EVENT_LOOT_UPDATED EVENT_PLAYER_ACTIVATED EVENT_PLAYER_DEACTIVATED EVENT_SHOW_BOOK,yes,20,57,7,data/addon_summaries/HarvestMap.txt
HarvestMapData,,,no,,no,0,5,0,data/addon_summaries/HarvestMapData.txt
IIfA,/ii,,yes,EVENT_ACTION_LAYER_PUSHED EVENT_ADD_ON_LOADED EVENT_COMPANION_ACTIVATED EVENT_COMPANION_DEACTIVATED EVENT_GUILD_BANK_ITEMS_READY EVENT_GUILD_BANK_ITEM_ADDED EVENT_GUILD_BANK_ITEM_REMOVED EVENT_GUILD_SELF_JOINED_GUILD EVENT_GUILD_SELF_LEFT_GUILD EVENT_HOUSING_EDITOR_MODE_CHANGED EVENT_INVENTORY_FULL_UPDATE EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_OPEN_BANK EVENT_PLAYER_ACTIVATED EVENT_PLAYER_DEACTIVATED EVENT_STACKED_ALL_ITEMS_IN_BAG,yes,17,15,2,data/addon_summaries/IIfA.txt
