folder,title,esoui_url,esoui_category
ActionDurationReminder,Action Duration Reminder,,
AdvancedFilters,Advanced Filters,,
ArmoryStyleManager,|c9CD04CArmory Style Manager|r,,
AwesomeGuildStore,,,
BanditsCompanions,Bandits |c00FFE8Companions|r,,
BanditsUserInterface,|c4B8BFEBandits|r User Interface,,
BeamMeUp,,,
CharacterKnowledge,,,
CombatAlerts,,,
CombatMetrics,,,
CraftStoreFixedAndImproved,CraftStore,,
CrutchAlerts,,,
CustomCompassPins,,,
DolgubonsLazyWritCreator,,,
Dustman,|c8B0000Dust|r|cE94A2Fman|r,,
EssentialHousingTools,Essential Housing Tools,,
HarvestMap,|cFF0000HarvestMap|r,,
HarvestMapData,,,
IIfA,Inventory Insight,,
InfoPanel,|c4B8BFEInfo Panel|r,,
LeadList,LeadList,,
Lib3D,Lib3D-v3,,
LibAddonMenu-2.0,,,
LibAddonMenuSoundSlider,LibAddonMenu-2.0 - Sound slider widget,,
LibAlchemy,LibAlchemy,,
LibAlchemyStation,LibAlchemyStation,,
LibAnimation-1.0,LibAnimation-1.0,,
LibAsync,,,
LibBinaryEncode,LibBinaryEncode,,
LibCharacterKnowledge,,,
LibChatMessage,,,
LibCombat,,,
LibCustomMenu,LibCustomMenu,,
LibDataEncode,,,
LibDateTime,,,
LibDebugLogger,,,
LibDialog,LibDialog,,
LibFilters-3.0,,,
LibGetText,,,
LibGPS,,,
LibGuildRoster,LibGuildRoster,,
LibHarvensAddonSettings,,,
LibHistoire,,,
LibId64,,,
LibItemLink,LibItemLink,,
LibLazyCrafting,,,
LibLootSummary,,,
LibMainMenu-2.0,LibMainMenu-2.0,,
LibMapData,,,
LibMapPing,,,
LibMapPins-1.0,,,
LibMediaProvider,,,
LibMotif,LibMotif 7.3.1,,
LibMultiAccountSets,,,
LibNotification,,,
LibPrice,,,
LibPromises,,,
LibQRCode,,,
LibQuestData,,,
LibRecipe,,,
LibResearch,libResearch,,
LibSavedVars,LibSavedVars,,
LibScanner,LibScanner,,
LibScrollableMenu,LibScrollableMenu,,
LibSets,,,
LibSlashCommander,,,
LibTextFilter,,,
LibTreasure,,,
LibUndauntedPledges,,,
LibZone,,,
LootLog,,,
LoreBooks,,,
MapPins,,,
MasterMerchant,Master Merchant 3.8.24 by Sharlikran,,
MasterWritInventoryMarker,Master Writ Inventory Marker (WritWorthy Extension),,
NoAccidentalStealing,NoAccidentalStealing,,
OdySupportIcons,OdySupportIcons,,
pChat,pChat,,
PithkaAchievementTracker,Pithka's Achievement Tracker,,
PotionMaker,Potion Maker (for Alchemy Crafting),,
QuestMap,,,
RaidNotifier,|cEFEBBERaidNotifier|r,,
RareFishTracker,,,
Roomba,,,
TamrielTradeCentre,Tamriel Trade Centre,,
VotansFisherman,,,
VotansImprovedLocations,Votan's Improved Locations,,
WritWorthy,WritWorthy 7.5.6,,
LootLogCustom,Loot Log (Custom),,
